pdv_id,regiao,uf,municipio,tipo_estabelecimento,tier_historico,volume_q4_2024_hl,volume_q4_2025_hl,delta_volume_yoy_pct,share_ardor_pct,gasto_posm_trim_brl,visitas_promotor_mes,posm_instalado_cod,nps_dono_q4_2024,nps_dono_q4_2025,meses_no_programa,concorrentes_premium_no_pdv,evento_ativacional_2025
PDV-02165,Sul,SC,Joinville,pub,B,44.7,49.2,10.1,20.8,1283.0,2,CHP|MES,60,63,31,1,1
PDV-03244,Centro-Oeste,MS,Campo Grande,bar premium,B,22.6,18.5,-18.1,19.4,1194.0,3,CHP|KVI,57,55,47,2,0
PDV-01124,Sudeste,SP,Ribeirão Preto,restaurante,B,51.4,49.8,-3.1,25.9,1158.0,3,BAL|KVI|LUM|MES,57,43,35,1,1
PDV-02853,Centro-Oeste,MS,Campo Grande,restaurante,C,12.1,10.4,-14.0,15.0,678.0,2,BAL|FRZ|LUM,41,26,47,1,0
PDV-01413,Sudeste,MG,Uberlândia,bar premium,A,101.4,71.7,-29.3,35.9,2468.0,4,FRZ|KVI|LUM,65,51,47,3,1
PDV-00493,Sudeste,RJ,Niterói,gastrobar,C,14.4,9.2,-36.1,22.3,765.0,5,KVI|MES,64,49,47,4,0
PDV-03619,Nordeste,PE,Olinda,pub,C,9.6,9.6,0.0,18.3,739.0,3,CHP|FRZ|KVI,73,53,47,0,0
PDV-00970,Sudeste,SP,Santos,bar premium,C,12.6,6.6,-47.6,9.7,638.0,4,BAL|KVI,39,32,47,5,0
PDV-02684,Sul,RS,Porto Alegre,choperia,B,62.6,63.0,0.6,14.4,1279.0,4,BAL|CHP|LUM|MES,64,58,47,0,0
PDV-00324,Sudeste,MG,Belo Horizonte,bar premium,C,13.0,11.6,-10.8,12.4,634.0,4,BAL|CHP,60,65,47,0,0
PDV-02186,Sul,RS,Pelotas,bar premium,C,16.2,17.0,4.9,10.3,729.0,4,CHP,58,46,47,0,0
PDV-00282,Sudeste,MG,Juiz de Fora,gastrobar,A,204.0,89.1,-56.3,26.3,2273.0,6,BAL|FRZ|KVI|LUM|MES,59,41,47,4,1
PDV-02167,Sul,PR,Curitiba,bar premium,C,31.3,28.9,-7.7,18.5,734.0,3,FRZ,55,49,31,1,0
PDV-00790,Sudeste,MG,Belo Horizonte,bar premium,C,12.8,11.9,-7.0,21.6,734.0,3,CHP,60,55,47,1,0
PDV-02443,Sul,PR,Curitiba,pub,A,97.6,86.7,-11.2,35.2,2529.0,8,BAL|CHP|FRZ|KVI|LUM|MES,57,44,18,2,0
PDV-02471,Sul,RS,Caxias do Sul,pub,C,14.2,13.2,-7.0,12.9,578.0,2,BAL|FRZ|KVI,48,40,47,0,0
PDV-00826,Sudeste,MG,Juiz de Fora,gastrobar,B,22.5,18.0,-20.0,25.7,1187.0,4,CHP|KVI|LUM,47,37,17,2,1
PDV-00460,Sudeste,RJ,Rio de Janeiro,gastrobar,B,75.1,63.2,-15.8,28.9,1302.0,3,KVI|LUM|MES,72,53,27,2,1
PDV-03308,Centro-Oeste,MS,Campo Grande,bar premium,C,19.2,12.7,-33.9,7.9,719.0,4,CHP|FRZ|LUM,73,63,47,3,0
PDV-02283,Sul,RS,Caxias do Sul,restaurante,A,39.9,39.3,-1.5,23.3,2251.0,8,BAL|CHP|FRZ|KVI|LUM|MES,57,40,47,0,1
PDV-00768,Sudeste,SP,Campinas,bar premium,C,11.0,6.0,-45.5,23.5,743.0,5,FRZ|MES,84,68,47,4,0
PDV-01824,Sudeste,MG,Uberlândia,restaurante,C,19.0,15.3,-19.5,4.2,721.0,4,BAL|CHP,62,48,8,1,0
PDV-03457,Nordeste,CE,Juazeiro do Norte,gastrobar,C,10.6,12.0,13.2,27.0,691.0,3,CHP|FRZ|KVI,55,40,47,0,0
PDV-01512,Sudeste,SP,São Paulo,choperia,B,46.0,45.9,-0.2,24.0,1102.0,3,CHP|KVI|LUM,52,54,18,0,0
PDV-01316,Sudeste,RJ,Niterói,bar premium,A,55.1,33.8,-38.7,23.7,2004.0,8,CHP|FRZ|LUM|MES,54,44,47,3,0
PDV-03837,Nordeste,BA,Feira de Santana,bar premium,B,61.9,57.8,-6.6,20.7,1176.0,4,FRZ|LUM,66,57,47,2,1
PDV-03397,Nordeste,BA,Salvador,pub,C,7.9,8.8,11.4,14.9,542.0,2,BAL,32,18,47,0,0
PDV-02953,Centro-Oeste,DF,Brasília,gastrobar,A,85.9,47.2,-45.1,22.8,2823.0,4,CHP|KVI|MES,85,79,47,4,0
PDV-02411,Sul,SC,Balneário Camboriú,restaurante,A,84.4,82.8,-1.9,31.1,2309.0,6,CHP|LUM|MES,63,53,26,0,1
PDV-02099,Sul,PR,Curitiba,bar premium,C,15.9,14.2,-10.7,7.5,824.0,3,FRZ,33,29,33,0,0
PDV-03450,Nordeste,BA,Feira de Santana,restaurante,A,51.5,57.2,11.1,30.3,2257.0,9,BAL|CHP|FRZ|KVI|LUM|MES,52,48,47,0,1
PDV-03264,Centro-Oeste,GO,Anápolis,gastrobar,C,10.0,8.6,-14.0,12.0,555.0,3,FRZ|KVI,61,51,47,1,0
PDV-02431,Sul,SC,Balneário Camboriú,restaurante,C,8.5,5.5,-35.3,19.1,704.0,3,FRZ|LUM,64,45,47,5,0
PDV-01653,Sudeste,SP,Ribeirão Preto,bar premium,B,34.4,21.2,-38.4,22.6,1197.0,3,KVI|MES,61,51,40,3,0
PDV-02322,Sul,RS,Porto Alegre,pub,C,13.2,12.0,-9.1,13.3,557.0,2,BAL|CHP,55,65,47,0,0
PDV-01162,Sudeste,SP,São José dos Campos,restaurante,C,16.4,15.3,-6.7,17.9,839.0,3,BAL|CHP|FRZ,60,56,37,1,1
PDV-02633,Sul,PR,Maringá,gastrobar,A,124.4,67.8,-45.5,42.9,2510.0,4,CHP|FRZ|MES,54,37,47,5,1
PDV-02707,Sul,SC,Joinville,pub,A,131.8,143.7,9.0,24.4,2454.0,7,BAL|CHP|FRZ|KVI|LUM|MES,61,59,47,0,1
PDV-00415,Sudeste,ES,Vila Velha,bar premium,B,42.4,40.9,-3.5,31.3,1085.0,3,BAL|CHP|FRZ|MES,72,66,45,0,1
PDV-00010,Sudeste,ES,Vitória,pub,A,172.8,127.9,-26.0,31.6,2433.0,7,BAL|CHP|FRZ|KVI|LUM|MES,62,57,47,3,1
PDV-03521,Nordeste,BA,Salvador,pub,A,46.8,48.7,4.1,31.2,2367.0,5,BAL|CHP|LUM|MES,72,59,47,0,0
PDV-02062,Sul,PR,Londrina,restaurante,B,51.8,28.3,-45.4,25.1,1381.0,4,BAL|CHP|FRZ,53,42,44,4,0
PDV-01752,Sudeste,SP,São Paulo,restaurante,C,7.3,6.4,-12.3,12.9,627.0,4,FRZ|LUM,80,71,33,0,0
PDV-00138,Sudeste,RJ,Petrópolis,choperia,A,169.9,158.4,-6.8,23.5,2203.0,6,BAL|CHP|FRZ|KVI|LUM|MES,51,45,8,0,1
PDV-02634,Sul,SC,Balneário Camboriú,restaurante,A,90.4,59.6,-34.1,38.8,2669.0,6,BAL|KVI|LUM,51,34,47,4,1
PDV-02461,Sul,PR,Londrina,restaurante,A,62.1,46.2,-25.6,33.9,2440.0,6,BAL|FRZ|LUM,75,63,28,4,1
PDV-01053,Sudeste,ES,Vila Velha,restaurante,B,50.9,46.1,-9.4,21.4,1319.0,3,CHP|FRZ|LUM,81,59,47,2,0
PDV-00318,Sudeste,SP,São Paulo,restaurante,B,44.3,39.2,-11.5,20.7,1265.0,6,BAL|CHP|FRZ|KVI,52,52,39,1,0
PDV-03715,Nordeste,BA,Feira de Santana,bar premium,C,4.5,5.1,13.3,18.0,752.0,2,BAL|KVI|LUM,76,65,47,1,1
PDV-00785,Sudeste,RJ,Petrópolis,bar premium,C,19.4,18.8,-3.1,18.8,588.0,4,CHP|FRZ|KVI,61,67,47,1,0
PDV-00599,Sudeste,SP,São José dos Campos,bar premium,B,25.1,15.9,-36.7,31.2,1296.0,3,LUM|MES,62,57,47,3,0
PDV-02857,Centro-Oeste,GO,Goiânia,bar premium,B,31.5,29.4,-6.7,30.7,1356.0,5,BAL|FRZ|KVI,61,50,43,0,0
PDV-02202,Sul,SC,Joinville,pub,B,27.2,27.8,2.2,16.1,1314.0,4,BAL|MES,30,16,47,1,1
PDV-01667,Sudeste,SP,Campinas,rooftop,C,9.5,7.6,-20.0,11.5,754.0,4,BAL,57,46,7,2,1
PDV-03199,Centro-Oeste,MT,Cuiabá,pub,B,31.8,26.5,-16.7,16.8,1445.0,5,CHP|MES,48,53,47,2,1
PDV-01859,Sudeste,SP,São José dos Campos,restaurante,A,113.6,71.0,-37.5,30.4,2407.0,4,BAL|CHP|FRZ|KVI|LUM|MES,74,69,47,4,1
PDV-00817,Sudeste,SP,São Paulo,bar premium,B,35.0,35.0,0.0,23.8,1301.0,4,BAL|CHP|FRZ|LUM,58,36,11,0,1
PDV-03093,Centro-Oeste,DF,Brasília,bar premium,C,7.5,5.6,-25.3,9.9,755.0,4,MES,93,74,47,2,0
PDV-02972,Centro-Oeste,GO,Goiânia,bar premium,C,15.9,14.6,-8.2,3.0,735.0,4,BAL|KVI,70,65,40,1,0
PDV-00831,Sudeste,SP,Campinas,bar premium,B,32.0,27.0,-15.6,22.3,1177.0,4,CHP|LUM,78,63,47,2,0
PDV-01097,Sudeste,MG,Juiz de Fora,bar premium,B,64.1,36.8,-42.6,17.1,1419.0,2,KVI|MES,74,53,47,5,0
PDV-03020,Centro-Oeste,DF,Brasília,choperia,C,9.3,8.7,-6.5,15.8,745.0,1,FRZ|KVI|MES,62,53,14,0,0
PDV-00707,Sudeste,SP,São José dos Campos,bar premium,B,35.8,29.2,-18.4,24.0,1244.0,4,BAL|LUM,60,45,47,2,1
PDV-01511,Sudeste,MG,Juiz de Fora,choperia,B,35.0,28.5,-18.6,13.4,1361.0,3,BAL|FRZ|LUM,44,32,47,2,0
PDV-03839,Nordeste,PE,Olinda,restaurante,B,15.3,17.7,15.7,17.5,1116.0,5,CHP|LUM|MES,70,64,47,0,0
PDV-02299,Sul,PR,Maringá,bar premium,C,7.1,7.0,-1.4,14.2,560.0,3,BAL|KVI|LUM,72,52,24,1,0
PDV-03816,Nordeste,CE,Fortaleza,choperia,C,8.8,9.2,4.5,27.0,818.0,3,FRZ|KVI|LUM,46,32,47,0,0
PDV-01508,Sudeste,MG,Uberlândia,gastrobar,B,47.3,40.2,-15.0,28.2,1134.0,4,CHP|KVI|LUM,44,25,47,1,0
PDV-01001,Sudeste,SP,São Paulo,gastrobar,B,19.7,10.9,-44.7,24.4,1543.0,3,BAL|KVI|LUM|MES,58,49,47,4,1
PDV-02689,Sul,RS,Porto Alegre,bar premium,C,15.8,17.7,12.0,9.4,616.0,1,BAL|CHP|KVI,46,30,47,0,1
PDV-03366,Centro-Oeste,GO,Anápolis,bar premium,B,41.9,39.4,-6.0,23.5,1164.0,4,KVI|LUM|MES,55,51,47,1,0
PDV-02217,Sul,SC,Balneário Camboriú,restaurante,B,25.9,24.1,-6.9,21.2,1210.0,4,KVI|LUM|MES,61,43,47,1,0
PDV-00397,Sudeste,SP,Ribeirão Preto,rooftop,C,12.6,10.6,-15.9,17.2,552.0,2,BAL|CHP|FRZ,64,48,47,2,1
PDV-02191,Sul,PR,Maringá,gastrobar,A,120.0,114.6,-4.5,22.9,2463.0,5,BAL|CHP|FRZ|LUM|MES,80,77,47,2,1
PDV-01685,Sudeste,RJ,Rio de Janeiro,bar premium,A,96.9,85.1,-12.2,36.4,2238.0,5,BAL|FRZ|KVI|LUM|MES,65,60,15,1,1
PDV-00030,Sudeste,MG,Juiz de Fora,pub,B,46.0,45.6,-0.9,27.7,1335.0,5,KVI|MES,66,62,47,0,0
PDV-01084,Sudeste,MG,Uberlândia,gastrobar,C,29.6,24.1,-18.6,12.9,817.0,5,MES,61,51,47,2,0
PDV-01348,Sudeste,MG,Juiz de Fora,restaurante,C,13.4,13.3,-0.7,11.5,504.0,3,BAL|CHP|FRZ,51,37,47,1,0
PDV-02222,Sul,RS,Porto Alegre,pub,A,140.3,134.8,-3.9,41.0,2535.0,7,BAL|CHP|FRZ|KVI|LUM,53,29,47,1,1
PDV-00657,Sudeste,MG,Juiz de Fora,restaurante,C,7.2,3.2,-55.6,13.5,620.0,5,BAL|CHP,68,54,47,4,0
PDV-02300,Sul,RS,Caxias do Sul,pub,A,108.0,97.7,-9.5,26.2,2646.0,6,BAL|CHP|FRZ|KVI|MES,63,48,23,1,1
